depl,model,pcpu ,tcpu,p_timestamp,t_timestamp,p_time,t_time
SCLB,yolov4,0.0,100.0,11/22/21 15:05:14.116,11/22/21 15:05:13.921,0.0,0.0
SCLB,yolov4,0.01,100.0,11/22/21 15:05:14.478,11/22/21 15:05:14.282,0.362,0.361
SCLB,yolov4,0.01,93.3,11/22/21 15:05:14.846,11/22/21 15:05:14.650,0.73,0.729
SCLB,yolov4,0.01,93.8,11/22/21 15:05:15.214,11/22/21 15:05:15.018,1.098,1.097
SCLB,yolov4,0.01,100.0,11/22/21 15:05:15.579,11/22/21 15:05:15.380,1.463,1.459
SCLB,yolov4,0.01,100.0,11/22/21 15:05:15.943,11/22/21 15:05:15.752,1.827,1.831
SCLB,yolov4,0.02,100.0,11/22/21 15:05:16.311,11/22/21 15:05:16.113,2.195,2.192
SCLB,yolov4,0.02,93.3,11/22/21 15:05:16.674,11/22/21 15:05:16.484,2.558,2.563
SCLB,yolov4,0.02,100.0,11/22/21 15:05:17.040,11/22/21 15:05:16.845,2.924,2.924
SCLB,yolov4,0.02,100.0,11/22/21 15:05:17.407,11/22/21 15:05:17.215,3.291,3.294
SCLB,yolov4,0.02,93.8,11/22/21 15:05:17.773,11/22/21 15:05:17.578,3.657,3.657
SCLB,yolov4,0.03,100.0,11/22/21 15:05:18.142,11/22/21 15:05:17.949,4.026,4.028
SCLB,yolov4,0.03,100.0,11/22/21 15:05:18.508,11/22/21 15:05:18.312,4.392,4.391
SCLB,yolov4,0.03,100.0,11/22/21 15:05:18.876,11/22/21 15:05:18.683,4.76,4.762
SCLB,yolov4,0.03,100.0,11/22/21 15:05:19.240,11/22/21 15:05:19.046,5.124,5.125
SCLB,yolov4,0.04,93.3,11/22/21 15:05:19.614,11/22/21 15:05:19.416,5.498,5.495
SCLB,yolov4,0.04,100.0,11/22/21 15:05:19.975,11/22/21 15:05:19.782,5.859,5.861
SCLB,yolov4,0.04,100.0,11/22/21 15:05:20.355,11/22/21 15:05:20.153,6.239,6.232
SCLB,yolov4,0.04,100.0,11/22/21 15:05:20.714,11/22/21 15:05:20.523,6.598,6.602
SCLB,yolov4,0.04,100.0,11/22/21 15:05:21.091,11/22/21 15:05:20.887,6.975,6.966
SCLB,yolov4,0.05,93.3,11/22/21 15:05:21.452,11/22/21 15:05:21.261,7.336,7.34
SCLB,yolov4,0.05,93.3,11/22/21 15:05:21.819,11/22/21 15:05:21.620,7.703,7.699
SCLB,yolov4,0.05,93.3,11/22/21 15:05:22.182,11/22/21 15:05:21.991,8.066,8.07
SCLB,yolov4,0.05,100.0,11/22/21 15:05:22.547,11/22/21 15:05:22.352,8.431,8.431
SCLB,yolov4,0.06,93.3,11/22/21 15:05:22.918,11/22/21 15:05:22.722,8.802,8.801
SCLB,yolov4,0.06,93.3,11/22/21 15:05:23.280,11/22/21 15:05:23.086,9.164,9.165
SCLB,yolov4,0.06,100.0,11/22/21 15:05:23.658,11/22/21 15:05:23.458,9.542,9.537
SCLB,yolov4,0.06,100.0,11/22/21 15:05:24.018,11/22/21 15:05:23.826,9.902,9.905
SCLB,yolov4,0.06,100.0,11/22/21 15:05:24.393,11/22/21 15:05:24.191,10.277,10.27
SCLB,yolov4,0.07,100.0,11/22/21 15:05:24.753,11/22/21 15:05:24.564,10.637,10.643
SCLB,yolov4,0.07,100.0,11/22/21 15:05:25.118,11/22/21 15:05:24.923,11.002,11.002
SCLB,yolov4,0.07,100.0,11/22/21 15:05:25.486,11/22/21 15:05:25.293,11.37,11.372
SCLB,yolov4,0.07,100.0,11/22/21 15:05:25.851,11/22/21 15:05:25.656,11.735,11.735
SCLB,yolov4,0.07,100.0,11/22/21 15:05:26.229,11/22/21 15:05:26.028,12.113,12.107
SCLB,yolov4,0.08,100.0,11/22/21 15:05:26.588,11/22/21 15:05:26.397,12.472,12.476
SCLB,yolov4,0.08,100.0,11/22/21 15:05:26.964,11/22/21 15:05:26.760,12.848,12.839
SCLB,yolov4,0.08,100.0,11/22/21 15:05:27.324,11/22/21 15:05:27.134,13.208,13.213
SCLB,yolov4,0.08,100.0,11/22/21 15:05:27.689,11/22/21 15:05:27.494,13.573,13.573
SCLB,yolov4,0.09,100.0,11/22/21 15:05:28.058,11/22/21 15:05:27.865,13.942,13.944
SCLB,yolov4,0.09,100.0,11/22/21 15:05:28.421,11/22/21 15:05:28.227,14.305,14.306
SCLB,yolov4,0.09,100.0,11/22/21 15:05:28.799,11/22/21 15:05:28.598,14.683,14.677
SCLB,yolov4,0.09,100.0,11/22/21 15:05:29.159,11/22/21 15:05:28.968,15.043,15.047
SCLB,yolov4,0.09,93.8,11/22/21 15:05:29.535,11/22/21 15:05:29.333,15.419,15.412
