depl,model,energy(joules),timestamp
ONNX,yolov4,3.0290189207000906,1
ONNX,yolov4,12.222562485086527,2
ONNX,yolov4,28.068603720130447,3
ONNX,yolov4,49.04857739666621,4
ONNX,yolov4,75.96028068577361,5
ONNX,yolov4,116.02304306821755,6
ONNX,yolov4,167.63175591709816,7
ONNX,yolov4,227.54363385008128,8
ONNX,yolov4,293.02478374043176,9
ONNX,yolov4,366.49512731845334,10
ONNX,yolov4,449.5895968343668,11
ONNX,yolov4,533.832611287653,12
ONNX,yolov4,623.0302505084784,13
ONNX,yolov4,720.1081570544991,14
ONNX,yolov4,821.4843856879893,15
ONNX,yolov4,931.352845320294,16
ONNX,yolov4,1048.7768668165274,17
ONNX,yolov4,1177.8746717331446,18
ONNX,yolov4,1317.9464112406872,19
ONNX,yolov4,1470.598596713165,20
ONNX,yolov4,1626.945618071153,21
ONNX,yolov4,1774.8655446873945,22
ONNX,yolov4,1931.0188649663098,23
ONNX,yolov4,2089.9590168280793,24
ONNX,yolov4,2268.08197936354,25
ONNX,yolov4,2459.558362510084,26
ONNX,yolov4,2651.8079032697906,27
ONNX,yolov4,2862.7545992583973,28
ONNX,yolov4,3075.1422214731288,29
ONNX,yolov4,3285.4197461016647,30
ONNX,yolov4,3503.8357045124853,31
ONNX,yolov4,3727.9953634342455,32
ONNX,yolov4,3951.627894387988,33
ONNX,yolov4,4194.39206624044,34
ONNX,yolov4,4437.085795792411,35
ONNX,yolov4,4687.006722406759,36
ONNX,yolov4,4944.195647727659,37
ONNX,yolov4,5461.308855232308,39
ONNX,yolov4,5741.643961700305,40
ONNX,yolov4,6028.721585609964,41
ONNX,yolov4,6331.62549031713,42
ONNX,yolov4,6648.9614061843085,43
ONNX,yolov4,6932.10737390303,44
ONNX,yolov4,7217.019522210184,45
ONNX,yolov4,7524.313049544925,46
SCLB,mnist,2.8415387251931525,1
SCLB,mnist,11.833056658082109,2
SCLB,mnist,26.59071371761854,3
SCLB,mnist,46.950947924556885,4
SCLB,mnist,73.65747230533253,5
SCLB,mnist,107.92090164369034,6
SCLB,mnist,151.13126882290564,7
SCLB,mnist,199.25727723072265,8
SCLB,mnist,250.7169129582639,9
SCLB,mnist,307.44590336691414,10
SCLB,mnist,369.7788125946827,11
SCLB,mnist,441.44975696864117,12
SCLB,mnist,522.3981173212392,13
SCLB,mnist,610.5673548515377,14
SCLB,mnist,701.3945660221937,15
SCLB,mnist,794.3125896076353,16
SCLB,mnist,892.827274787911,17
SCLB,mnist,1002.3791613581276,18
SCLB,mnist,1127.115966444478,19
SCLB,mnist,1251.7406809574309,20
SCLB,mnist,1375.1846633748673,21
SCLB,mnist,1639.9680895034842,23
SCLB,mnist,1780.927230268141,24
SCLB,mnist,1938.2262249564458,25
SCLB,mnist,2109.8391492766245,26
SCLB,mnist,2282.6149980495375,27
SCLB,mnist,2458.7219737539763,28
SCLB,mnist,2643.3713732767756,29
SCLB,mnist,2829.5106382555664,30
SCLB,mnist,3024.636786301317,31
SCLB,mnist,3234.5997500378717,32
SCLB,mnist,3441.410090166261,33
SCLB,mnist,3644.304334494772,34
SCLB,mnist,3852.913734424707,35
SCLB,mnist,4079.2972353431287,36
SCLB,mnist,4318.532121752384,37
SCLB,mnist,4552.367633294196,38
SCLB,mnist,4801.272069733751,39
SCLB,mnist,5058.7122216330845,40
SCLB,mnist,5306.771404891302,41
SCLB,mnist,5561.763371818663,42
SCLB,mnist,5840.524394873881,43
SCLB,mnist,6138.097119034993,44
SCLB,mnist,6420.985002319722,45
SCLB,mnist,6693.175249128917,46
SCLB,mnist,6970.924346784576,47
SCLB,mnist,7254.066720799876,48
SCLB,mnist,7562.910951020675,49
SCLB,mnist,7882.67504734131,50
SCLB,mnist,8193.492266806163,51
SCLB,mnist,8505.50198848659,52
SCLB,mnist,8849.9825441221,53
SCLB,mnist,9222.35657671186,54
SCLB,mnist,9571.271357370095,55
SCLB,mnist,9903.5668504772,56
SCLB,mnist,10241.532309242915,57
SCLB,mnist,10594.177730078774,58
SCLB,mnist,10982.831912200802,59
SCLB,mnist,11359.1965033707,60
DOCKER,mnist,2.736585807187116,1
DOCKER,mnist,10.778992568969958,2
DOCKER,mnist,25.387839140166953,3
DOCKER,mnist,49.763889852591404,4
DOCKER,mnist,80.95740636409775,5
DOCKER,mnist,118.26654049949249,6
DOCKER,mnist,162.83261887943706,7
DOCKER,mnist,212.35383807777964,8
DOCKER,mnist,269.9515562459285,9
DOCKER,mnist,334.9080683677489,10
DOCKER,mnist,406.90995788325483,11
DOCKER,mnist,489.41139364006847,12
DOCKER,mnist,583.0782409820172,13
DOCKER,mnist,685.8320339888196,14
DOCKER,mnist,796.2729185446243,15
