depl,model,rss(kb),vsz(kb),timestamp,time
DOCKER,mnist,168260,18336,12/03/21 21:26:36.325,0.0
DOCKER,mnist,189460,33084,12/03/21 21:26:36.717,0.392
DOCKER,mnist,316264,62304,12/03/21 21:26:37.120,0.795
DOCKER,mnist,322932,69816,12/03/21 21:26:37.512,1.187
DOCKER,mnist,324148,70160,12/03/21 21:26:37.891,1.566
DOCKER,mnist,327432,73628,12/03/21 21:26:38.281,1.956
DOCKER,mnist,333584,78524,12/03/21 21:26:38.668,2.343
DOCKER,mnist,336324,81440,12/03/21 21:26:39.057,2.732
DOCKER,mnist,417376,92528,12/03/21 21:26:39.448,3.123
DOCKER,mnist,417376,92528,12/03/21 21:26:39.849,3.524
DOCKER,mnist,417376,92528,12/03/21 21:26:40.274,3.949
DOCKER,mnist,417376,92528,12/03/21 21:26:40.678,4.353
DOCKER,mnist,417376,92528,12/03/21 21:26:41.082,4.757
DOCKER,mnist,417376,92528,12/03/21 21:26:41.486,5.161
DOCKER,mnist,417376,92528,12/03/21 21:26:41.891,5.566
DOCKER,mnist,417376,92528,12/03/21 21:26:42.297,5.972
DOCKER,mnist,417376,92528,12/03/21 21:26:42.704,6.379
DOCKER,mnist,417376,92528,12/03/21 21:26:43.108,6.783
DOCKER,mnist,417376,92528,12/03/21 21:26:43.517,7.192
DOCKER,mnist,417376,92528,12/03/21 21:26:43.924,7.599
DOCKER,mnist,417376,92528,12/03/21 21:26:44.332,8.007
DOCKER,mnist,417376,92528,12/03/21 21:26:44.740,8.415
DOCKER,mnist,417376,92528,12/03/21 21:26:45.150,8.825
DOCKER,mnist,417376,92528,12/03/21 21:26:45.560,9.235
DOCKER,mnist,417376,92528,12/03/21 21:26:45.969,9.644
DOCKER,mnist,417376,92528,12/03/21 21:26:46.378,10.053
DOCKER,mnist,417376,92528,12/03/21 21:26:46.788,10.463
DOCKER,mnist,417376,92528,12/03/21 21:26:47.197,10.872
DOCKER,mnist,417376,92528,12/03/21 21:26:47.608,11.283
DOCKER,mnist,417376,92528,12/03/21 21:26:48.017,11.692
DOCKER,mnist,417376,92528,12/03/21 21:26:48.427,12.102
DOCKER,mnist,417376,92528,12/03/21 21:26:48.836,12.511
DOCKER,mnist,417376,92528,12/03/21 21:26:49.246,12.921
DOCKER,mnist,417376,92528,12/03/21 21:26:49.657,13.332
DOCKER,mnist,417376,92528,12/03/21 21:26:50.068,13.743
DOCKER,mnist,417376,92528,12/03/21 21:26:50.479,14.154
DOCKER,mnist,417376,92528,12/03/21 21:26:50.890,14.565
DOCKER,mnist,417376,92528,12/03/21 21:26:51.302,14.977
DOCKER,mnist,417376,92528,12/03/21 21:26:51.713,15.388
DOCKER,mnist,417376,92528,12/03/21 21:26:52.126,15.801
DOCKER,mnist,417376,92528,12/03/21 21:26:52.538,16.213
DOCKER,mnist,417376,92528,12/03/21 21:26:52.949,16.624
DOCKER,mnist,417376,92528,12/03/21 21:26:53.361,17.036
DOCKER,mnist,417376,92528,12/03/21 21:26:53.773,17.448
DOCKER,mnist,417376,92528,12/03/21 21:26:54.185,17.86
DOCKER,mnist,417376,92528,12/03/21 21:26:54.596,18.271
DOCKER,mnist,417376,92528,12/03/21 21:26:55.008,18.683
DOCKER,mnist,417376,92528,12/03/21 21:26:55.420,19.095
DOCKER,mnist,417376,92528,12/03/21 21:26:55.832,19.507
DOCKER,mnist,417376,92528,12/03/21 21:26:56.244,19.919
DOCKER,mnist,417376,92528,12/03/21 21:26:56.656,20.331
DOCKER,mnist,417376,92528,12/03/21 21:26:57.067,20.742
DOCKER,mnist,417376,92528,12/03/21 21:26:57.477,21.152
DOCKER,mnist,417376,92528,12/03/21 21:26:57.894,21.569
DOCKER,mnist,417376,92528,12/03/21 21:26:58.304,21.979
DOCKER,mnist,417376,92528,12/03/21 21:26:58.788,22.463
DOCKER,mnist,417376,92528,12/03/21 21:26:59.220,22.895
DOCKER,mnist,417376,92528,12/03/21 21:26:59.637,23.312
DOCKER,mnist,417376,92528,12/03/21 21:27:00.055,23.73
DOCKER,mnist,417376,92528,12/03/21 21:27:00.466,24.141
DOCKER,mnist,417376,92528,12/03/21 21:27:00.878,24.553
DOCKER,mnist,417376,92528,12/03/21 21:27:01.291,24.966
DOCKER,mnist,417376,92528,12/03/21 21:27:01.712,25.387
DOCKER,mnist,417376,92528,12/03/21 21:27:02.132,25.807
DOCKER,mnist,417376,92528,12/03/21 21:27:02.548,26.223
