row_id,run_id,depl,model,pcpu ,tcpu
1,1,ONNX,mnist,0.30085470085470095,194.1444444444444
2,1,ONNX,cifar10,0.35319148936170225,193.10531914893616
3,1,ONNX,emotion,0.1781159420289855,189.9971014492753
4,1,ONNX,yolov4,0.2665789473684211,193.7210526315789
5,1,SCLB,mnist,0.17354838709677417,98.69741935483866
6,1,SCLB,cifar10,2.038026315789474,90.08749999999988
7,1,SCLB,emotion,0.21568627450980393,98.67320261437904
8,1,SCLB,yolov4,0.3055214723926382,98.54171779141097
9,1,DOCKER,mnist,0.430076923076923,196.5161538461539
10,1,DOCKER,cifar10,0.20393939393939392,194.2282828282829
11,1,DOCKER,emotion,0.20430555555555557,191.40277777777783
12,1,DOCKER,yolov4,0.3728099173553717,194.30413223140502
13,2,ONNX,mnist,0.30260162601626023,193.78536585365845
14,2,ONNX,cifar10,1.6078125000000003,191.98541666666662
15,2,ONNX,emotion,0.3101449275362319,191.4492753623188
16,2,ONNX,yolov4,0.28403508771929825,193.32807017543854
17,2,SCLB,mnist,0.302608695652174,98.47267080745334
18,2,SCLB,cifar10,0.17620437956204377,98.3569343065693
19,2,SCLB,emotion,0.3134868421052632,98.83486842105258
20,2,SCLB,yolov4,0.26185185185185184,98.82530864197524
21,2,DOCKER,mnist,0.25872180451127824,197.539097744361
22,2,DOCKER,cifar10,1.8217171717171718,193.45656565656574
23,2,DOCKER,emotion,2.963827160493827,182.39135802469127
24,2,DOCKER,yolov4,0.4700833333333334,194.45333333333338
25,3,ONNX,mnist,0.3892741935483871,193.44112903225803
26,3,ONNX,cifar10,0.27673684210526317,194.11368421052632
27,3,ONNX,emotion,0.2236231884057971,191.18115942028984
28,3,ONNX,yolov4,8.099179104477614,182.8791044776118
29,3,SCLB,mnist,0.2180625,98.78687499999997
30,3,SCLB,cifar10,0.2712592592592593,98.64222222222217
31,3,SCLB,emotion,0.2851315789473685,98.57302631578942
32,3,SCLB,yolov4,0.245379746835443,98.89936708860753
33,3,DOCKER,mnist,0.5818181818181819,196.52803030303045
34,3,DOCKER,cifar10,0.5151020408163266,193.83877551020413
35,3,DOCKER,emotion,0.35,193.54444444444448
36,3,DOCKER,yolov4,0.24716666666666665,194.59500000000008
37,4,ONNX,mnist,0.38924999999999993,193.7658333333333
38,4,ONNX,cifar10,0.25231578947368427,192.5210526315789
39,4,ONNX,emotion,0.3792857142857143,189.83428571428567
40,4,ONNX,yolov4,0.5764601769911505,192.7831858407079
41,4,SCLB,mnist,0.23100628930817613,98.36289308176094
42,4,SCLB,cifar10,8.864342857142857,82.57371428571429
43,4,SCLB,emotion,0.1804575163398693,98.6620915032679
44,4,SCLB,yolov4,0.1772222222222222,98.28827160493819
45,4,DOCKER,mnist,0.6068888888888889,195.91185185185188
46,4,DOCKER,cifar10,0.19510204081632654,195.0704081632653
47,4,DOCKER,emotion,0.15569444444444447,193.35277777777776
48,4,DOCKER,yolov4,0.2797520661157025,194.22727272727278
49,5,ONNX,mnist,0.241764705882353,194.38991596638652
50,5,ONNX,cifar10,1.9441000000000002,188.93299999999996
51,5,ONNX,emotion,0.15942028985507245,189.98985507246366
52,5,ONNX,yolov4,6.348521739130435,192.395652173913
53,5,SCLB,mnist,0.24914285714285708,98.53828571428564
54,5,SCLB,cifar10,0.2770370370370371,99.10518518518516
55,5,SCLB,emotion,0.3488157894736842,98.64802631578941
56,5,SCLB,yolov4,2.0805590062111805,97.0739130434782
57,5,DOCKER,mnist,0.45492537313432824,196.33582089552252
58,5,DOCKER,cifar10,0.4924489795918367,194.9469387755102
59,5,DOCKER,emotion,0.13916666666666666,193.20138888888894
60,5,DOCKER,yolov4,0.3537190082644628,195.7371900826447
61,6,ONNX,mnist,0.46449152542372873,193.29915254237284
62,6,ONNX,cifar10,0.31094736842105264,193.8410526315789
63,6,ONNX,emotion,1.0651428571428574,188.59999999999994
64,6,ONNX,yolov4,1.5802564102564094,193.54957264957258
65,6,SCLB,mnist,0.17189873417721516,98.68924050632906
66,6,SCLB,cifar10,0.39941176470588236,98.26249999999995
67,6,SCLB,emotion,0.38202614379084965,98.21241830065355
68,6,SCLB,yolov4,1.920718954248366,98.61830065359472
69,6,DOCKER,mnist,0.28567164179104476,196.3567164179106
70,6,DOCKER,cifar10,0.2486868686868687,194.98686868686877
71,6,DOCKER,emotion,1.5091999999999999,188.97599999999997
