depl,model,mean_e(j),median_e(j),stdev_e,mean_t(s),median_t(s),stdev_t
ONNX,mnist,9032.880333386194,9035.366012937247,383.0332410211869,50,50.0,0.9428090415820634
ONNX,cifar10,7401.790648013746,7457.502262077283,490.10833925949487,44.5,44.5,1.4337208778404378
ONNX,emotion,3023.988460682161,3080.439568290273,253.48392211935436,28.3,28.5,1.1595018087284057
ONNX,yolov4,7008.481100309972,7016.880795963451,432.7102399119423,43.4,43.0,1.4298407059684812
SCLB,mnist,10877.026820427065,10849.574217698944,297.3589604851152,58,58.0,0.9428090415820634
SCLB,cifar10,12956.883122331868,13106.726597984598,717.75102883887,62.5,63.0,1.9578900207451218
SCLB,emotion,11689.003862288093,11785.359664540789,541.4936979785211,60.7,61.0,1.4944341180973264
SCLB,yolov4,11362.864722762211,11437.324991493557,326.39288563315705,58.3,58.0,0.9486832980505138
DOCKER,mnist,9835.735768838744,9681.401374758827,428.3839871927671,52.9,52.5,1.1005049346146119
DOCKER,cifar10,7212.966541939356,7205.03889140439,295.6627776588596,44.2,44.0,1.3165611772087666
DOCKER,emotion,3210.802564819551,3159.9273002167374,168.3088895793945,29.4,29.5,0.9660917830792959
DOCKER,yolov4,7585.007213844557,7654.7946177505,428.84528208224646,45.2,45.0,1.1352924243950933
