depl,model,mean_exec(s),median_exec(s),stdev_exec
ONNX,emotion,29.66357765970015,29.93710351649952,1.1694803535281337
ONNX,mnist,51.28602995850015,51.39111037549992,0.9432406658610765
DOCKER,cifar10,45.31119765880012,45.2242488844995,1.317567267997965
SCLB,emotion,61.80069695629991,61.97233560399991,1.4950195895250975
ONNX,yolov4,44.551607357399824,44.35099865800021,1.263916898654079
DOCKER,mnist,53.908114563000524,53.705235873000674,1.008621963196438
ONNX,cifar10,45.84870946749997,46.01765644999978,1.3438412454261228
DOCKER,emotion,30.234637268299867,30.40705645799926,0.7158181363797823
DOCKER,yolov4,46.36627602589988,46.220368096999664,0.8498653372096788
SCLB,yolov4,59.23156085090022,58.89611940249961,1.0765187979289614
SCLB,cifar10,63.90179839439988,63.79196811099882,1.919261088474656
SCLB,mnist,58.95816675490032,58.69095856950071,0.8298485893356101
