row_id,run_id,depl,model,exec_time(s),start,end
1,1,ONNX,mnist,43.1422778619999,2021-11-22 14:15:36.411038,2021-11-22 14:16:19.553316
2,1,ONNX,cifar10,34.27366386100039,2021-11-22 12:59:22.496898,2021-11-22 12:59:56.770562
3,1,ONNX,emotion,25.394898349999494,2021-11-22 14:10:22.106096,2021-11-22 14:10:47.500994
4,1,ONNX,yolov4,42.335345337000035,2021-11-22 14:38:34.991001,2021-11-22 14:39:17.326346
5,1,SCLB,mnist,56.71194246499908,2021-11-22 14:53:36.665059,2021-11-22 14:54:33.377001
6,1,SCLB,cifar10,58.76760308799999,2021-11-22 10:44:25.614746,2021-11-22 10:45:24.382349
7,1,SCLB,emotion,57.508926718999646,2021-11-22 14:06:27.296740,2021-11-22 14:07:24.805667
8,1,SCLB,yolov4,59.88158559600015,2021-11-22 13:07:11.276800,2021-11-22 13:08:11.158386
9,1,DOCKER,mnist,45.39398733099915,2021-11-22 13:13:30.364370,2021-11-22 13:14:15.758357
10,1,DOCKER,cifar10,34.97495634600273,2021-11-22 14:57:38.483010,2021-11-22 14:58:13.457966
11,1,DOCKER,emotion,25.505370007000238,2021-11-22 13:41:57.461460,2021-11-22 13:42:22.966830
12,1,DOCKER,yolov4,43.28636060499957,2021-11-22 13:29:55.082849,2021-11-22 13:30:38.369210
13,2,ONNX,mnist,44.4010105769994,2021-11-22 14:21:19.559493,2021-11-22 14:22:03.960504
14,2,ONNX,cifar10,34.67526935500018,2021-11-22 10:57:58.986866,2021-11-22 10:58:33.662135
15,2,ONNX,emotion,25.09432223099975,2021-11-22 12:32:41.032389,2021-11-22 12:33:06.126711
16,2,ONNX,yolov4,42.47138078500029,2021-11-22 14:23:11.853307,2021-11-22 14:23:54.324688
17,2,SCLB,mnist,58.1744593659987,2021-11-22 13:03:04.911289,2021-11-22 13:04:03.085748
18,2,SCLB,cifar10,52.84493751199989,2021-11-22 14:35:01.125419,2021-11-22 14:35:53.970357
19,2,SCLB,emotion,57.40395795999939,2021-11-22 12:55:44.176173,2021-11-22 12:56:41.580131
20,2,SCLB,yolov4,59.724766235998686,2021-11-22 13:33:53.010949,2021-11-22 13:34:52.735715
21,2,DOCKER,mnist,46.497931830002926,2021-11-22 15:13:13.434271,2021-11-22 15:13:59.932203
22,2,DOCKER,cifar10,35.331013629999916,2021-11-22 10:54:19.791834,2021-11-22 10:54:55.122848
23,2,DOCKER,emotion,28.55871544799993,2021-11-22 10:37:58.241321,2021-11-22 10:38:26.800036
24,2,DOCKER,yolov4,42.93075671599945,2021-11-22 12:49:57.551500,2021-11-22 12:50:40.482257
25,3,ONNX,mnist,44.14399883999977,2021-11-22 13:27:57.774771,2021-11-22 13:28:41.918770
26,3,ONNX,cifar10,34.433182738999676,2021-11-22 13:43:32.626794,2021-11-22 13:44:07.059977
27,3,ONNX,emotion,25.150441327999943,2021-11-22 13:22:50.667024,2021-11-22 13:23:15.817465
