row_id,run_id,depl,model,rss(kb),vsz(kb)
1,1,ONNX,mnist,413.8151794871795,98.97637606837607
2,1,ONNX,cifar10,409.9555319148936,95.1583829787234
3,1,ONNX,emotion,406.200231884058,92.20672463768115
4,1,ONNX,yolov4,491.3502105263158,173.71245614035087
5,1,SCLB,mnist,299.50931612903224,206.3292387096774
6,1,SCLB,cifar10,202.87647368421054,110.574
7,1,SCLB,emotion,218.76350326797387,125.96067973856209
8,1,SCLB,yolov4,568.6971779141105,476.14831901840495
9,1,DOCKER,mnist,418.31458461538466,98.60843076923076
10,1,DOCKER,cifar10,413.6233131313131,94.57309090909091
11,1,DOCKER,emotion,409.86438888888887,92.19805555555556
12,1,DOCKER,yolov4,495.4333223140496,173.5206611570248
13,2,ONNX,mnist,413.97265040650404,98.946081300813
14,2,ONNX,cifar10,410.039,95.21791666666667
15,2,ONNX,emotion,406.19571014492755,92.45918840579711
16,2,ONNX,yolov4,491.35312280701754,173.64094736842105
17,2,SCLB,mnist,300.1630310559006,206.98685714285713
18,2,SCLB,cifar10,203.60461313868615,111.37407299270073
19,2,SCLB,emotion,218.45944736842105,125.67131578947368
20,2,SCLB,yolov4,573.3079259259259,480.1444197530864
21,2,DOCKER,mnist,418.4898045112782,99.4203909774436
22,2,DOCKER,cifar10,413.6491313131313,94.20004040404041
23,2,DOCKER,emotion,410.6463703703704,92.4163950617284
24,2,DOCKER,yolov4,495.3678,173.38473333333334
25,3,ONNX,mnist,414.1382580645161,99.00309677419355
26,3,ONNX,cifar10,409.9962105263158,95.19831578947368
27,3,ONNX,emotion,405.232347826087,92.23768115942029
28,3,ONNX,yolov4,491.3905970149254,173.7630746268657
29,3,SCLB,mnist,300.8368,207.66315
30,3,SCLB,cifar10,205.20714074074075,112.28482962962963
31,3,SCLB,emotion,218.5643947368421,125.77973684210527
32,3,SCLB,yolov4,573.2747848101266,480.1106835443038
33,3,DOCKER,mnist,418.3856666666667,98.98254545454546
34,3,DOCKER,cifar10,413.5565306122449,94.85457142857143
35,3,DOCKER,emotion,409.85172222222224,92.19461111111112
36,3,DOCKER,yolov4,490.96733333333333,171.8233
37,4,ONNX,mnist,413.89366666666666,98.99053333333335
38,4,ONNX,cifar10,409.26787368421054,95.18581052631579
39,4,ONNX,emotion,400.4536,90.97788571428572
40,4,ONNX,yolov4,491.29617699115045,173.63575221238938
41,4,SCLB,mnist,298.64872955974846,206.0595220125786
42,4,SCLB,cifar10,205.34864000000002,112.40468571428572
43,4,SCLB,emotion,218.65132026143792,125.84104575163398
44,4,SCLB,yolov4,570.8701234567901,477.6046913580247
