rpi4
Id,RId,Deployment,Model
1,1,ONNX,mnist
2,1,ONNX,cifar10
3,1,ONNX,emotion
4,1,ONNX,yolov4
5,1,SCLB,mnist
6,1,SCLB,cifar10
7,1,SCLB,emotion
8,1,SCLB,yolov4
9,1,DOCKER,mnist
10,1,DOCKER,cifar10
11,1,DOCKER,emotion
12,1,DOCKER,yolov4
13,2,ONNX,mnist
14,2,ONNX,cifar10
15,2,ONNX,emotion
16,2,ONNX,yolov4
17,2,SCLB,mnist
18,2,SCLB,cifar10
19,2,SCLB,emotion
20,2,SCLB,yolov4
21,2,DOCKER,mnist
22,2,DOCKER,cifar10
23,2,DOCKER,emotion
24,2,DOCKER,yolov4
25,3,ONNX,mnist
26,3,ONNX,cifar10
27,3,ONNX,emotion
28,3,ONNX,yolov4
29,3,SCLB,mnist
30,3,SCLB,cifar10
31,3,SCLB,emotion
32,3,SCLB,yolov4
33,3,DOCKER,mnist
34,3,DOCKER,cifar10
35,3,DOCKER,emotion
36,3,DOCKER,yolov4
37,4,ONNX,mnist
38,4,ONNX,cifar10
39,4,ONNX,emotion
40,4,ONNX,yolov4
41,4,SCLB,mnist
42,4,SCLB,cifar10
43,4,SCLB,emotion
44,4,SCLB,yolov4
45,4,DOCKER,mnist
46,4,DOCKER,cifar10
47,4,DOCKER,emotion
48,4,DOCKER,yolov4
49,5,ONNX,mnist
50,5,ONNX,cifar10
51,5,ONNX,emotion
52,5,ONNX,yolov4
53,5,SCLB,mnist
54,5,SCLB,cifar10
55,5,SCLB,emotion
56,5,SCLB,yolov4
57,5,DOCKER,mnist
58,5,DOCKER,cifar10
59,5,DOCKER,emotion
60,5,DOCKER,yolov4
61,6,ONNX,mnist
62,6,ONNX,cifar10
63,6,ONNX,emotion
64,6,ONNX,yolov4
65,6,SCLB,mnist
66,6,SCLB,cifar10
67,6,SCLB,emotion
68,6,SCLB,yolov4
69,6,DOCKER,mnist
70,6,DOCKER,cifar10
71,6,DOCKER,emotion
72,6,DOCKER,yolov4
73,7,ONNX,mnist
74,7,ONNX,cifar10
75,7,ONNX,emotion
76,7,ONNX,yolov4
77,7,SCLB,mnist
78,7,SCLB,cifar10
79,7,SCLB,emotion
80,7,SCLB,yolov4
81,7,DOCKER,mnist
82,7,DOCKER,cifar10
83,7,DOCKER,emotion
84,7,DOCKER,yolov4
85,8,ONNX,mnist
86,8,ONNX,cifar10
87,8,ONNX,emotion
88,8,ONNX,yolov4
89,8,SCLB,mnist
90,8,SCLB,cifar10
91,8,SCLB,emotion
92,8,SCLB,yolov4
93,8,DOCKER,mnist
94,8,DOCKER,cifar10
95,8,DOCKER,emotion
96,8,DOCKER,yolov4
97,9,ONNX,mnist
98,9,ONNX,cifar10
99,9,ONNX,emotion
100,9,ONNX,yolov4
101,9,SCLB,mnist
102,9,SCLB,cifar10
103,9,SCLB,emotion
104,9,SCLB,yolov4
105,9,DOCKER,mnist
106,9,DOCKER,cifar10
107,9,DOCKER,emotion
108,9,DOCKER,yolov4
109,10,ONNX,mnist
110,10,ONNX,cifar10
111,10,ONNX,emotion
112,10,ONNX,yolov4
113,10,SCLB,mnist
114,10,SCLB,cifar10
115,10,SCLB,emotion
116,10,SCLB,yolov4
117,10,DOCKER,mnist
118,10,DOCKER,cifar10
119,10,DOCKER,emotion
120,10,DOCKER,yolov4
