Time(ms),Main(mA),Main Voltage(V),
1637593635,452.784255488417,4.997,
1637593635,452.29623624344134,4.9955,
1637593635,452.9062602996609,4.99525,
1637593635,453.39427954463656,4.998,
1637593635,451.80821699846564,4.99525,
1637593636,664.950622241585,4.99775,
1637593636,655.8002613982914,4.99725,
1637593636,661.2904779042675,4.99575,
1637593636,659.3384009243649,4.995,
1637593636,662.6325308279506,4.99225,
1637593637,665.9266607315363,4.994,
1637593637,659.7044153580966,4.9935,
1637593637,684.8374064743431,4.9967500000000005,
1637593637,677.1511033659765,4.997,
1637593637,676.1750648760252,4.995,
1637593638,681.9092910044892,4.9935,
1637593638,677.6391226109522,4.994,
1637593638,681.0552573257818,4.996,
1637593638,698.7459549561494,4.99525,
1637593638,685.0814160968309,4.99725,
1637593639,585.1594756880646,4.994,
1637593639,580.8893072945276,4.9945,
1637593639,570.3968935275509,4.99,
1637593639,588.0875911579186,4.99625,
1637593639,566.4927395677457,4.99775,
1637593640,965.5704771465913,4.9835,
1637593640,923.8448317011724,4.97925,
1637593640,951.1739094198093,4.9805,
1637593640,944.9516640463697,4.982,
1637593640,934.3372454681491,4.981,
1637593641,600.6540867160419,4.9925,
1637593641,609.4384331256038,4.995,
1637593641,608.4623946356523,4.9982500000000005,
1637593641,610.7804860492868,4.999,
1637593641,613.0985774629212,4.9995,
1637593642,590.1616729490652,4.996,
1637593642,590.283677760309,4.99275,
1637593642,609.3164283143598,4.99225,
1637593642,591.9917451177239,4.996,
1637593642,583.3294035194059,4.9982500000000005,
1637593643,676.2970696872691,4.9945,
1637593643,680.0792188358305,4.997,
1637593643,657.6303335669501,4.995,
1637593643,665.6826511090485,4.99775,
1637593643,666.1706703540242,4.99475,
1637593644,785.7353853730608,4.99475,
1637593644,769.5087454776201,4.99125,
1637593644,831.243179967041,4.9885,
1637593644,868.0886329627033,4.9855,
1637593644,908.9602447294149,4.9830000000000005,
1637593645,753.892129638399,4.992,
1637593645,772.9248801924497,4.99275,
1637593645,767.6786733089614,4.99375,
1637593645,765.360581895327,4.99325,
1637593645,761.8224423692534,4.9902500000000005,
1637593646,854.302089292141,4.995,
1637593646,849.6659064648721,4.996,
1637593646,831.1211751557971,4.99475,
1637593646,837.5874301517246,4.99425,
1637593646,858.572257685678,4.992,
1637593647,841.4915841115298,4.99475,
1637593647,842.833637035213,4.994,
1637593647,845.3957380713351,4.9975000000000005,
1637593647,831.6091944007728,4.99625,
1637593647,842.3456177902373,4.99775,
1637593648,859.3042865531414,4.997,
1637593648,845.639747693823,4.99625,
1637593648,851.0079593885553,4.99875,
1637593648,843.9316803364081,4.99525,
1637593648,856.4981758945314,4.996,
1637593649,902.982008978463,4.993,
1637593649,945.3176784801014,4.9975000000000005,
1637593649,911.4003409542931,4.99525,
1637593649,937.387365749247,5.00025,
1637593649,863.0864357017028,4.999,
1637593650,922.5027787774894,4.988,
1637593650,949.2218324399067,4.98825,
1637593650,927.260966416002,4.9910000000000005,
1637593650,943.9756255564184,4.9885,
1637593650,942.7555774439793,4.995,
1637593651,846.0057621275547,4.993,
1637593651,857.5962191957267,4.99725,
1637593651,839.6615119428711,4.997,
1637593651,843.6876707139204,4.999,
1637593651,837.4654253404807,4.9982500000000005,
1637593652,863.4524501354346,4.996,
1637593652,857.3522095732388,4.9967500000000005,
1637593652,854.4240941033848,4.997,
1637593652,854.302089292141,5.00075,
1637593652,846.3717765612864,4.99725,
1637593653,857.4742143844827,4.9915,
1637593653,869.5526906976303,4.9925,
1637593653,854.9121133483605,4.99475,
1637593653,871.382762866289,4.9955,
1637593653,864.184479002898,4.996,
1637593654,826.3629875172844,4.9967500000000005,
1637593654,863.2084405129467,4.99575,
1637593654,858.9382721194097,4.99575,
1637593654,850.031920898604,4.99475,
1637593654,854.0580796696531,4.99575,
1637593655,839.7835167541151,4.99475,
1637593655,837.2214157179928,4.99725,
1637593655,840.2715359990907,4.99375,
1637593655,861.1343587218001,4.9975000000000005,
1637593655,850.3979353323357,4.99375,
1637593656,798.0578713086961,4.9975000000000005,
1637593656,795.1297558388422,4.9975000000000005,
1637593656,804.4021214933797,4.993,
1637593656,801.3520012122818,4.994,
1637593656,779.5131399996211,4.9935,
1637593657,844.5417043926277,5.00025,
1637593657,843.1996514689447,5.00175,
1637593657,848.3238535411891,4.997,
1637593657,876.7509745610213,4.999,
1637593657,832.829242513212,4.995,
1637593658,945.8056977250772,4.99275,
1637593658,937.7533801829787,4.99325,
1637593658,941.0475100865644,4.9955,
1637593658,922.8687932112211,4.99525,
1637593658,949.8318564961263,4.99075,
1637593659,802.694054135965,4.997,
1637593659,789.8835489553538,4.998,
1637593659,794.2757221601348,4.9975000000000005,
1637593659,794.7637414051104,4.99875,
1637593659,801.4740060235258,4.99725,
1637593660,851.0079593885553,4.99425,
1637593660,854.6681037258727,4.99225,
1637593660,842.9556418464568,4.99575,
1637593660,862.5984164567271,4.997,
1637593660,836.7333964730171,4.9982500000000005,
1637593661,940.193476407857,4.99075,
1637593661,945.4396832913453,4.99525,
1637593661,929.3350482071486,4.99275,
1637593661,942.6335726327353,4.996,
1637593661,928.725024150929,4.993,
1637593662,853.2040459909457,4.9945,
1637593662,868.2106377739473,4.9955,
1637593662,849.90991608736,4.99375,
1637593662,847.5918246737256,4.9975000000000005,
1637593662,852.4720171234823,4.995,
1637593663,793.1776788589395,4.9985,
1637593663,775.9750004735475,4.997,
1637593663,775.8529956623037,4.99925,
1637593663,769.630750288864,4.999,
1637593663,810.9903813005511,4.996,
1637593664,801.107991589794,4.992,
1637593664,812.3324342242342,4.99475,
1637593664,811.1123861117951,4.997,
1637593664,801.4740060235258,4.9985,
1637593664,802.9380637584528,4.996,
1637593665,848.567863163677,4.9965,
1637593665,870.2847195650938,4.998,
1637593665,856.3761710832875,4.99575,
1637593665,872.9688254124599,5.00225,
1637593665,838.563468641676,4.997,
1637593666,955.8100922470782,4.99325,
1637593666,923.3568124561967,4.995,
1637593666,928.4810145284412,4.99375,
1637593666,925.918913492319,4.995,
1637593666,905.6661148258291,4.98975,
1637593667,856.8641903282631,4.99925,
1637593667,851.0079593885553,4.9982500000000005,
1637593667,866.7465800390203,4.996,
1637593667,856.2541662720436,4.99275,
1637593667,863.2084405129467,4.9935,
1637593668,802.572049324721,4.998,
1637593668,790.2495633890857,4.9967500000000005,
1637593668,804.6461311158675,4.9985,
1637593668,789.6395393328661,4.99875,
1637593668,791.3476066902808,4.9985,
1637593669,868.9426666414107,4.9982500000000005,
1637593669,848.0798439187013,4.99575,
1637593669,862.5984164567271,5.00025,
1637593669,847.9578391074574,4.9982500000000005,
1637593669,864.306483814142,4.9975000000000005,
1637593670,982.0411266645199,4.98775,
1637593670,1005.9540696683273,4.99,
1637593670,997.7797473149849,4.9895000000000005,
1637593670,982.2851362870077,4.9955,
1637593670,982.4071410982516,4.99475,
1637593671,870.8947436213134,4.995,
1637593671,859.3042865531414,4.99175,
1637593671,861.1343587218001,4.99325,
1637593671,858.3282480631901,4.9965,
1637593671,862.1103972117515,4.99625,
1637593672,867.2345992839959,4.99975,
1637593672,806.1101888507945,5.00225,
1637593672,774.9989619835962,5.0055000000000005,
